Passer,Receiver,Passes
Flo,Connor,0.0
Flo,Dave,0.0
Flo,Davide,0.0
Flo,Flex,4.0
Flo,Franz,3.0
Flo,Hans,15.0
Flo,Kitchen,2.0
Flo,Matze,9.0
Flo,Mike,5.0
Flo,Misch,0.0
Flo,Moritz,0.0
Flo,Mou K.,0.0
Flo,Rainer,8.0
Flo,Rene,0.0
Flo,Walder,0.0
Franz,Alan,0.0
Franz,Throwaway,2.0
Franz,Aze,0.0
Franz,Brandon,4.0
Franz,Cafi,2.0
Franz,Chris,0.0
Franz,Connor,5.0
Franz,Dave,1.0
Franz,Davide,0.0
Franz,Flex,1.0
Franz,Flo,1.0
Franz,Hans,1.0
Franz,Kitchen,2.0
Franz,Matze,1.0
Franz,Mike,1.0
Franz,Misch,4.0
Franz,Moritz,1.0
Franz,Mou K.,0.0
Franz,Rainer,0.0
Franz,Rene,0.0
Franz,Walder,1.0
Hans,Alan,5.0
Hans,Throwaway,5.0
Hans,Aze,18.0
Hans,Brandon,0.0
Hans,Cafi,0.0
Hans,Chris,7.0
Hans,Connor,0.0
Hans,Dave,0.0
Hans,Davide,0.0
Hans,Flex,5.0
Hans,Flo,23.0
Hans,Franz,0.0
Hans,Kitchen,1.0
Hans,Matze,20.0
Hans,Mike,6.0
Hans,Misch,0.0
Hans,Moritz,0.0
Hans,Mou K.,0.0
Hans,Rainer,5.0
Hans,Rene,0.0
Hans,Walder,0.0
Kitchen,Alan,0.0
Kitchen,Throwaway,2.0
Kitchen,Aze,0.0
Kitchen,Brandon,1.0
Kitchen,Cafi,0.0
Kitchen,Chris,0.0
Kitchen,Connor,3.0
Kitchen,Dave,2.0
Kitchen,Davide,0.0
Kitchen,Flex,0.0
Kitchen,Flo,1.0
Kitchen,Franz,2.0
Kitchen,Hans,0.0
Kitchen,Matze,0.0
Kitchen,Mike,0.0
Kitchen,Misch,2.0
Kitchen,Moritz,1.0
Kitchen,Mou K.,0.0
Kitchen,Rainer,0.0
