Passer,Receiver,PassesPerPoint
Flo,Moritz,0.0
Flo,Mou K.,0.0
Flo,Rainer,0.4
Flo,Rene,0.0
Flo,Walder,0.0
Franz,Alan,0.0
Franz,Throwaway,0.04878048780487805
Franz,Aze,0.0
Franz,Brandon,0.13333333333333333
Franz,Cafi,0.125
Franz,Chris,0.0
Franz,Connor,0.22727272727272727
Franz,Dave,0.037037037037037035
Franz,Davide,0.0
Franz,Flex,0.5
Franz,Flo,0.25
Franz,Hans,0.3333333333333333
Franz,Kitchen,0.0625
Franz,Matze,0.3333333333333333
Franz,Mike,0.3333333333333333
Franz,Misch,0.19047619047619047
Franz,Moritz,0.043478260869565216
Franz,Mou K.,0.0
Franz,Rainer,0.0
Franz,Rene,0.0
Franz,Walder,0.09090909090909091
Hans,Alan,0.13513513513513514
Hans,Throwaway,0.1111111111111111
Hans,Aze,0.43902439024390244
Hans,Brandon,0.0
Hans,Cafi,0.0
Hans,Chris,0.16666666666666666
Hans,Connor,0.0
Hans,Dave,0.0
Hans,Davide,0.0
Hans,Flex,0.2777777777777778
Hans,Flo,0.5227272727272727
Hans,Franz,0.0
Hans,Kitchen,0.3333333333333333
Hans,Matze,0.45454545454545453
Hans,Mike,0.3157894736842105
Hans,Misch,0.0
Hans,Moritz,0.0
Hans,Mou K.,0.0
Hans,Rainer,0.29411764705882354
Hans,Rene,0.0
Hans,Walder,0.0
Kitchen,Alan,0.0
Kitchen,Throwaway,0.037037037037037035
Kitchen,Aze,0.0
Kitchen,Brandon,0.022727272727272728
Kitchen,Cafi,0.0
Kitchen,Chris,0.0
Kitchen,Connor,0.1
Kitchen,Dave,0.06451612903225806
Kitchen,Davide,0.0
Kitchen,Flex,0.0
Kitchen,Flo,0.25
Kitchen,Franz,0.0625
Kitchen,Hans,0.0
Kitchen,Matze,0.0
Kitchen,Mike,0.0
Kitchen,Misch,0.06060606060606061
Kitchen,Moritz,0.041666666666666664
Kitchen,Mou K.,0.0
Kitchen,Rainer,0.0
Kitchen,Rene,0.03571428571428571
Kitchen,Walder,0.045454545454545456
Matze,Alan,0.08695652173913043
Matze,Throwaway,0.037037037037037035
Matze,Aze,0.2653061224489796
Matze,Brandon,0.0
Matze,Cafi,0.0
Matze,Chris,0.08
Matze,Connor,0.0
Matze,Dave,0.0
Matze,Davide,0.0
Matze,Flex,0.08333333333333333
Matze,Flo,0.3076923076923077
Matze,Franz,0.0
Matze,Hans,0.5227272727272727
Matze,Kitchen,0.0
Matze,Mike,0.2962962962962963
Matze,Misch,0.0
Matze,Moritz,0.0
Matze,Mou K.,0.0
Matze,Rainer,0.2
Matze,Rene,0.0
Matze,Walder,0.0
Mike,Alan,0.13043478260869565
Mike,Throwaway,0.0
Mike,Aze,0.2692307692307692
Mike,Brandon,0.0
Mike,Cafi,0.0
Mike,Chris,0.1111111111111111
Mike,Connor,0.0
Mike,Dave,0.0
Mike,Davide,0.0
Mike,Flex,0.0
Mike,Flo,0.18518518518518517
Mike,Franz,0.0
Mike,Hans,0.21052631578947367
Mike,Kitchen,0.0
Mike,Matze,0.5185185185185185
Mike,Misch,0.0
Mike,Moritz,0.5
Mike,Mou K.,0.0
Mike,Rainer,0.2857142857142857
Mike,Rene,0.0
Mike,Walder,0.0
Misch,Alan,0.0
Misch,Throwaway,0.07692307692307693
Misch,Aze,0.0
Misch,Brandon,0.027777777777777776
Misch,Cafi,0.0
Misch,Chris,0.0
Misch,Connor,0.2
Misch,Dave,0.043478260869565216
Misch,Davide,0.0
Misch,Flex,0.0
Misch,Flo,0.0
Misch,Franz,0.0
Misch,Hans,0.0
Misch,Kitchen,0.030303030303030304
Misch,Matze,0.0
Misch,Mike,0.0
Misch,Moritz,0.0
Misch,Mou K.,0.05555555555555555
Misch,Rainer,0.0
Misch,Rene,0.05555555555555555
Misch,Walder,0.14285714285714285
Moritz,Alan,0.0
Moritz,Throwaway,0.1
Moritz,Aze,0.0
Moritz,Brandon,0.0
Moritz,Cafi,0.11764705882352941
Moritz,Chris,0.0
Moritz,Connor,0.05
Moritz,Dave,0.11764705882352941
Moritz,Davide,0.0
Moritz,Flex,0.0
Moritz,Flo,0.0
Moritz,Franz,0.043478260869565216
Moritz,Hans,0.0
Moritz,Kitchen,0.0
Moritz,Matze,0.0
Moritz,Mike,0.0
Moritz,Misch,0.0
Moritz,Mou K.,0.0
Moritz,Rainer,0.0
Moritz,Rene,0.0
Moritz,Walder,0.0
Mou K.,Alan,0.0
Mou K.,Throwaway,0.0
Mou K.,Aze,0.0
Mou K.,Brandon,0.08
Mou K.,Cafi,0.0
Mou K.,Chris,0.0
Mou K.,Connor,0.0
Mou K.,Dave,0.0
Mou K.,Davide,0.0
Mou K.,Flex,0.0
Mou K.,Flo,0.0
Mou K.,Franz,0.0
Mou K.,Hans,0.0
Mou K.,Kitchen,0.04
Mou K.,Matze,0.0
Mou K.,Mike,0.0
Mou K.,Misch,0.0
Mou K.,Moritz,0.0
Mou K.,Rainer,0.0
Mou K.,Rene,0.0
Mou K.,Walder,0.0
Rainer,Alan,0.0
Rainer,Throwaway,0.043478260869565216
Rainer,Aze,0.1111111111111111
Rainer,Brandon,0.0
Rainer,Cafi,0.0
Rainer,Chris,0.2222222222222222
Rainer,Connor,0.0
Rainer,Dave,0.0
Rainer,Davide,0.0
Rainer,Flex,0.0
Rainer,Flo,0.2
Rainer,Franz,0.0
Rainer,Hans,0.058823529411764705
Rainer,Kitchen,0.25
Rainer,Matze,0.0
Rainer,Mike,0.2857142857142857
Rainer,Misch,0.0
Rainer,Moritz,0.0
Rainer,Mou K.,0.0
Rainer,Rene,0.0
Rainer,Walder,0.3333333333333333
Rene,Alan,0.0
Rene,Throwaway,0.0
Rene,Aze,0.0
Rene,Brandon,0.0
Rene,Cafi,0.0
Rene,Chris,0.0
Rene,Connor,0.058823529411764705
Rene,Dave,0.0
Rene,Davide,0.0
Rene,Flex,0.0
Rene,Flo,0.0
Rene,Franz,0.05263157894736842
Rene,Hans,0.0
Rene,Kitchen,0.0
Rene,Matze,0.0
Rene,Mike,0.0
Rene,Misch,0.0
Rene,Moritz,0.0
Rene,Mou K.,0.0
Rene,Rainer,0.0
Rene,Walder,0.09090909090909091
Walder,Alan,0.0
Walder,Throwaway,0.037037037037037035
Walder,Aze,0.0
Walder,Brandon,0.08333333333333333
Walder,Cafi,0.07142857142857142
Walder,Chris,0.0
Walder,Connor,0.0
Walder,Dave,0.1111111111111111
Walder,Davide,0.0
Walder,Flex,0.0
Walder,Flo,0.0
Walder,Franz,0.09090909090909091
Walder,Hans,0.0
Walder,Kitchen,0.13636363636363635
Walder,Matze,0.0
Walder,Mike,0.0
Walder,Misch,0.09523809523809523
Walder,Moritz,0.0
Walder,Mou K.,0.125
Walder,Rainer,0.0
Walder,Rene,0.18181818181818182
